fix,rsci_uuid,Barcode No.,Barcode Prefix,Legacy Chemical (CAS) No.,cas 1,cas 2,cas 3,cas 4,cas 5,Chemical Formula,Chemical Name,Ak Notes
,adb3ce1d-0922-4695-b3a6-ce99c6d011ca,11174,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,48310b12-8720-4522-a574-60b01bd37cf6,11175,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,7bdf9c42-9acd-4f2e-b279-dbd9ee5b7d42,11176,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,95caddea-5732-40a4-a03d-9bf0a13800a7,11177,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,6f7eb277-25f3-41f9-a5a1-22bf8c0e7cda,12674,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,44c616bf-4101-4105-baed-90cf398d9012,12685,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,998ab6e1-99c2-4a8d-96b9-fb89ff5ae65e,12690,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,e8f95d82-5442-4315-8153-425fbb014475,12705,GUM,9000-01-5,9000-01-5,,,,,,"Contains L-Arabinosis, D-Galactosis, L-Rhamnosis and D-Glucoronic acid in the ratio 3:3:1:1",
,7435ae5c-ea36-43fb-b072-7a4ba4b1f519,12706,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,e9c3ad84-19dc-4fec-83be-96db49230347,12708,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,eb7143c0-2181-46ce-b724-5ace76c6b965,12733,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,2276f589-e406-4168-9420-356a79eb3521,12734,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,146612bf-065f-460c-bead-31fbb76a2b62,12735,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,37fe3baf-a8a5-4330-9e8f-e27d2171d6bf,12737,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,a5f79ab2-d5d5-49c2-9fc4-4068289f8d75,12740,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,c7c17388-4c57-4ff3-b7b1-1c3c24e83b52,12746,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,27dc22f5-4dc5-4df1-a9e7-de5ac6988f68,12751,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,75944141-2431-4983-8e97-66bd2633906c,12809,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,54c492d7-1cb6-4c4f-be59-c115978085d5,15154,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,dc6e4ae3-addf-495f-849e-b1864ba0df67,15158,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,677f470d-faf4-4198-b937-5e5dc209ae8a,15179,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,9f3fb173-ceeb-49a7-b569-6d930788cd0b,15180,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,e74f99b3-b746-4ae8-8dbe-d35028e28465,15189,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,ea646999-e387-4de1-a246-1b50d2397d5e,15190,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,0bc7e9f2-8c5f-4a65-b52c-2d0a13d76dbb,15200,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,d99465d6-5b56-4315-832a-3d9cff1eb5f4,15207,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,f6a41f43-7087-4e7b-bd8e-d3c42def8204,15236,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,87be4de3-d882-4d43-8b4a-b54f0d15b297,16296,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
