rsci_uuid,gbif_canonical_name,gbif_uri,Sample Type,Typical Use,gbif_statement,sample_type_pref_label,typical_use_pref_label,materials_pref_labels,READY_natural-synthetic,READY_mixture_type,READY_mixture_note_ratio,READY_mixture_note_technique,READY_comp_pigment_name,READY_comp_pigment_INCOLLECTION,READY_comp_pigement_type,READY_comp_pigment_dim_value,READY_comp_pigment_dim_unit,READY_comp_pigment_dim_type,READY_comp_pigment_dim_note,READY_comp_basemix_INCOLLECTION,READY_comp_basemix_name,READY_comp_basemix_type,READY_comp_basemix_dim_value,READY_comp_basemix_dim_unit,READY_comp_basemix_dim_type,READY_comp_basemix_dim_note,READY_comp1_name,READY_comp1_INCOLLECTION,READY_comp1_type,READY_comp1_dim_value,READY_comp1_dim_unit,READY_comp1_dim_type,READY_comp1_dim_note,READY_comp2_name,READY_comp2_INCOLLECTION,READY_comp2_type,READY_comp2_dim_value,READY_comp2_dim_unit,READY_comp2_dim_type,READY_comp2_dim_note,READY_comp3_name,READY_comp3_INCOLLECTION,READY_comp3_type,READY_comp3_dim_value,READY_comp3_dim_unit,READY_comp3_dim_type,READY_comp3_dim_note
013c409d-eb74-4708-959a-18864b4857af,,,Prepared mixture,,,mixtures (materials),,"[""mixtures (materials)""]",,organic - inorganic mixture,,,Verdigris,,colorant,,,,Pigment measurement not listed in FileMaker Pro database,,,,,,,,"(From reference sample: Linseed Oil, sun-thickened)",9aad550d-d269-499f-98eb-ae0afebda6e7,,,,,Measurement not listed in FileMaker Pro database,,,,,,,,,,,,,,
013ebc3f-717c-4291-a591-8a4701511bab,,,Gum,Binding Medium,,gum (material),,"[""gum (material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013fa841-5a8d-40a8-b19e-3158cf8afba8,,,Pigment,Colorant,,pigments,,"[""pigments""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01411535-4c1a-4c5c-9c25-ddcda40b3bf1,,,Pigment,Colorant,,pigments,,"[""pigments""]",natural,multi-component mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01435481-edda-4790-b138-94c90c8bd193,,,Pigment,Colorant,,pigments,,"[""pigments""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0146c950-c9c6-4e73-8e64-28d22ddfde75,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0148d3d4-26e3-48b3-bcbf-43cf844d85e1,,,Dye,Colorant,,dye,,"[""dye""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014c136a-8518-408c-9eda-e3c0117c0597,,,Natural Resin,Binding Medium,,natural resin,,"[""natural resin""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014c406c-bfb4-4578-8465-7ab87c809519,,,Paint Additive,Surfactant,,additive (material),,"[""additive (material)""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014f3550-32fe-4a0b-aef3-217d7ec5de6b,,,Fabric / Textile,,,textile materials,,"[""textile materials""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
