rsci_uuid,Chemical Name,Mixture Type,Sample Type,Typical Use,sample_type_value_uuid,typical_use_value_uuid,mixture_type_value_uuid,mixture_type_pref_label,sample_type_pref_label,typical_use_pref_label,mixture_type_value_uuids,object_type_value_uuids
a1d6b2ff-ef34-408b-8a90-e3ca21327267,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
36b2ffcc-502d-46b6-b151-fea1f31e74c9,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
b7d03e97-76b8-4805-a7f8-2e0e56bf583e,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
d9a4be1d-39a5-4460-a76c-0a06197d7131,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
55edbe8e-e4fd-4b99-be9a-18a68b2dd188,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
ec69ecd1-3f28-46d2-932f-75ad6d684362,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
9b47f591-9425-4dac-b683-9e37daecd26a,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
4b99b4da-fb3d-437b-a245-8bd5a4285045,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
843f0964-0baa-4159-b3fd-4ce36731fda6,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
fe68510b-758c-4b16-8eb8-db770c3f21ef,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
11f14715-755f-4cc5-b78b-a42115fb19db,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
c0241fff-bcdc-4fae-919e-d1536e8bb552,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
13d5fd1c-a53c-4c86-a02d-9e03da74d7bd,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
ce14cb0f-2c4f-4c46-b50a-e6cf0d3e64fd,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
e1778af0-a7d3-4873-bbff-41af69640da8,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
2f10d570-d0e0-439d-8c72-4d41cbc970d0,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
73c11750-6e24-46b1-9231-8624b3f4d1ce,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
7430853c-1c29-4bdd-98aa-a1db7e9dfe1e,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
16985af0-bf18-4a07-97bb-4981df01ed08,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
62d38491-ed18-455e-b9da-c14265214fd3,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
8ef0d6b9-cb28-4a9f-b78e-5704023ec338,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
c8708680-e1da-4f95-851e-2af1c3bbad0e,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
a21f0ee3-688a-474f-9484-e37f634de2b4,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
52c442c8-3616-4056-9242-88b956485d38,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
0d739ba8-18c8-47f4-a362-c3c9850797a8,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
f7fe36ae-a923-4734-8b52-dee57dc0f420,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
2557ddef-32c0-4f29-a9bc-ff6ec843a25b,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
ac320f30-ff3e-47fe-8914-0607a0b8c48d,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
3cbad33f-6be0-4bd7-a604-04622b416312,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
3abdb0ae-db81-41db-8ced-b9c291d22c31,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
aab93078-f341-400f-84d5-fc25a1df7c69,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
9ce9b6a8-e837-44dd-8952-d28002b9d4c3,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
67b94296-cddd-4c0a-8907-1f38de285961,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
ba911696-e9b6-4388-9033-6487334771cb,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
c1eaa0ae-0501-48d4-b49b-35d0ec5c9622,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
28ea66f4-6707-4eb8-b683-752722a10d7e,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
7d05d121-0a92-430f-96db-ae98c7fb3b8b,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
c8d126a7-4e39-40a1-a309-41c3aeaf89f0,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
9a6447fc-bc21-42d9-990b-1db57dabf095,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
85dff587-f742-4eab-9c46-c366ab4186ea,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
13c178f6-ce5c-4f5b-82bd-1972583df00b,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
b6d94d85-abd7-46ea-b8e0-5308a63adf09,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
9bcd20f7-5d25-40a0-ad8b-fb0015b4f59b,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
ae4c7d78-62a5-48d0-a569-6129325e6641,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
3939244b-7158-42ae-8a00-77e31cf7c6db,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
7fb96d6d-b4c1-4736-a4c9-2722c16be555,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
36863793-f5de-416a-a5ee-de2fbd4246ba,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
fcfd7acc-b4cb-4676-9562-aaab414438ea,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
a9e41ca0-9746-4a4b-9ee3-9374367ad0a7,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
bffc95a2-4d3e-4ad0-be66-31d7c57152fd,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
