rsci_uuid,set_uuid,Acquisition Date__begin_of_the_begin,Acquisition Date__end_of_the_begin,Acquisition Date__begin_of_the_end,Acquisition Date__end_of_the_end,acq_by_person_1_uuid,acq_by_person_2_uuid,acq_by_group_1_uuid,acq_by_group_2_uuid,acq_from_group_1_uuid,acq_from_group_2_uuid,acquisition_note,acquisition_type
c25dd19c-ff51-4e87-a1c3-520bd4dcb017,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
b95de53b-0769-4b54-9a76-4b4bf30a545b,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
b4290a55-95dd-4010-8e0f-ae8e6bc44cbe,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
3edcff3b-4f8b-4aa1-8ada-b6828dd04848,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
e6157a65-ff3f-46bb-9b31-3e54a65c9afe,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
64cfc5da-0901-4439-95f0-f57b46f9d855,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
b39ac4ef-8e71-4265-9dbd-9e7348194a68,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
22b779e0-a7c9-4272-89ea-624eb77662df,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
a7b8a93d-ffd0-40ce-9673-584972cc049f,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
3179b1ed-6c2e-4478-b4e5-4e5a5a440c74,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
f105cba0-bb09-4517-8873-26bae1df645a,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
029ab7c9-d52e-4ffb-8533-b4179722b248,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
957ac73f-a8ae-43a6-a8b2-dba1c196535b,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
a9b117e0-1619-4f2f-b293-0bb14394637d,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
