resourceinstanceid,graphid,graphpublicationid,principaluser_id,tileid,production__label,nodegroupid,production_carried_out_by_related_objs,pt_production_time_end_of_the_begin,pt_production_time_begin_of_the_end,pt_production_time_end_of_the_end,pt_tileid,pt_production_time_begin_of_the_begin,pt_nodegroupid
844f7f65-ee51-4b27-ad93-cf993c1c1c5c,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,c912e9e7-05b7-434d-a672-888a2ab25f96,"{""en"": {""value"": ""Production of Barcode No. 10592"", ""direction"": ""ltr""}}",bda43726-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""e6a6493b-6e52-4393-8948-1adaaab601fa"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""8b33cb8e-27f4-4138-b80f-e4a17aeb4ee9"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,
c553a40e-e09c-4ad8-b66c-bbee1d7d8307,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2e6dd2d9-1c79-449a-95d1-af023dbcb843,"{""en"": {""value"": ""Production of Barcode No. 10593"", ""direction"": ""ltr""}}",bda43726-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""e6a6493b-6e52-4393-8948-1adaaab601fa"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""2b7c5754-aef9-4697-bd07-8c2ccc877368"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,
ef55dc72-0dd4-47ad-81ee-91a2984c9c0c,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,dbc414b6-a61b-47d3-8af9-3fd5694e9881,"{""en"": {""value"": ""Production of Barcode No. 10594"", ""direction"": ""ltr""}}",bda43726-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""e6a6493b-6e52-4393-8948-1adaaab601fa"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""58e44cd3-2bb4-4ee9-a536-629b6b54bb79"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,
b2dcba73-b38b-4cd1-aa4f-b125147c06bf,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,d870d135-5305-4a40-8f94-947b27a1e826,"{""en"": {""value"": ""Production of Barcode No. 10595"", ""direction"": ""ltr""}}",bda43726-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""e6a6493b-6e52-4393-8948-1adaaab601fa"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""b9f23b48-40a1-4262-8eb0-cc5a1be9f728"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,
70dc9c77-f272-4375-be49-307b0178ba0e,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,3ad08e41-ff62-435d-a489-a7794983ba88,"{""en"": {""value"": ""Production of Barcode No. 10596"", ""direction"": ""ltr""}}",bda43726-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""e6a6493b-6e52-4393-8948-1adaaab601fa"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""a53848e7-47ec-40d2-bdda-bdca9f485767"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,
f9cf8b56-608e-4309-b26a-6e80366d93d6,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,843ea0bf-4520-4ade-886f-c529c19dc25d,"{""en"": {""value"": ""Production of Barcode No. 10597"", ""direction"": ""ltr""}}",bda43726-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""e6a6493b-6e52-4393-8948-1adaaab601fa"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""80978167-f161-45ec-b3c3-6e4fc5d1af1e"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,
6db6e337-13de-468f-a100-5e7b8a73c7e3,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,98264466-2354-48c4-9882-f51ce02b1e45,"{""en"": {""value"": ""Production of Barcode No. 10598"", ""direction"": ""ltr""}}",bda43726-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""e6a6493b-6e52-4393-8948-1adaaab601fa"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""f34b064d-d054-4309-926f-86b3b77943e6"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,
73646225-9796-4467-85dc-21127924d4fc,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,19a2ab24-46ac-40b8-880b-a28b62a76003,"{""en"": {""value"": ""Production of Barcode No. 10599"", ""direction"": ""ltr""}}",bda43726-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""e6a6493b-6e52-4393-8948-1adaaab601fa"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""8955ad9b-8f95-4c77-bd6d-308c791ba50f"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,
eec155b8-6379-4041-856b-27479544ae25,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2f8816f1-8e07-4ce6-a34a-4455b9666678,"{""en"": {""value"": ""Production of Barcode No. 10600"", ""direction"": ""ltr""}}",bda43726-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""e6a6493b-6e52-4393-8948-1adaaab601fa"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""e73ed2dc-9754-4a9b-87d8-2466e8380f3a"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,
4907689c-7761-4742-8d1f-81330b5f558c,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,7c18cfd9-cc26-4e0b-abef-fca4ea12112b,"{""en"": {""value"": ""Production of Barcode No. 10601"", ""direction"": ""ltr""}}",bda43726-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""e6a6493b-6e52-4393-8948-1adaaab601fa"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""2dc104a2-b66d-4a7c-86a5-b883ef272438"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,
