rsci_uuid,READY_sample_type,Chemical (CAS) No.,Chemical Formula,Chemical Name,READY_natural-synthetic
01bab1e7-1d77-4198-b0ea-afc9108aaf89,prepared mixture,,,,
01bca22c-ea6e-4982-8027-0f44e52e9d86,varnish,,,,
01c40f98-32a7-4822-ae04-189620b1849f,"stone, natural",,,,natural
01ca338a-df5f-4251-925a-88cfd971e5c5,"stone, natural",,,,natural
01cad1d0-0205-41ab-805f-d3a9c8d1f193,photographic paper,,,,synthetic
01de1b38-3c3e-41fa-9aad-d360d7ff3ed4,wax,,,,
01e386ec-cc1b-4bf1-a547-133ebee805ef,pastel,,,,synthetic
01e5452d-5151-4547-94d2-ee794e5be5b1,pigment,,,,
01e7d8f1-db50-42ac-a86d-b6eac3728bfc,"paint, watercolor",,,,
01f745c0-e89d-4ebf-ae78-efabe4e04e9b,"resin, natural",9000-45-7,,(No chemical name provided),natural
01fe6635-4f19-4a94-919c-b785da09d629,"paint, oil-based, water mixable",,,,synthetic
01ffae75-fbd4-451c-98b5-bd5f76302d39,pigment,(No CAS No. Provided),MnO2 + Fe(OH)3,manganese dioxide + iron hydroxide,natural
020d13b7-49b3-4950-b39e-2250d0adf8ef,pigment,,,,synthetic
021f3b5f-9b06-4834-84a3-ebd53ab1ad45,"paint, encaustic",,,"diazo and anthraquinone pigments, purified beeswax, damar resin",synthetic
022893cb-69bb-48ca-b45a-faaee09c9332,pigment,,,,synthetic
02295b44-3555-4009-86da-2186914dcd3a,wood,,,,natural
02310c10-c02c-4590-a32c-c544ca2ae70c,gum,,,,natural
0231484a-f3e0-44d1-8cbf-9b5289ed66d3,photographic film,,,,synthetic
0236c6cd-5560-4668-b86d-be6fea9ec668,dye,,,,natural
02372b8e-2665-49e9-9baa-73b5ae8dfac7,ink,,,,
02425c1f-6d6e-4bc4-abcd-0b4af14440f8,wood,,,,natural
0245a0fe-f627-43bb-867a-d67bb86341dc,photographic paper,,,,synthetic
0249a203-572a-4e66-aa16-a9f32435954b,pigment,,,,
0249e54b-6824-48b8-aa1d-ca167ba8b5f2,prepared mixture,,,,
024a9086-fec7-4db4-9d8c-c5855beed339,pigment,,,,natural
024f3c45-9a51-46ba-aed4-78f4a7bdebc8,prepared mixture,,,,
024fbfe8-6d1b-4331-bd9b-527f1bd39050,"paint, other",(No CAS No. Provided),Fe2O3,Iron Oxide,synthetic
0251c71f-73de-4f13-8e07-b0261dc1b58b,"paint, other",,,Calcined Iron Oxide with Manganese,
02588100-b8f5-4b78-8b62-ddd11c279517,pigment,12713-03-0 or 1309-37-1,MnO2 + Fe(OH)3,manganese dioxide + iron hydroxide,natural
02657721-cc3b-4712-8473-48042ef925f6,"stone, natural",,,,natural
02671d4c-a367-4047-9e82-1e5a5fe8664f,prepared mixture,,,,
026835fc-8961-4eef-a2f5-e3d597e49f13,"paint, watercolor",,,,
026abf15-a1e8-4e0a-93f1-89dec81a3ce3,prepared mixture,,,,
026e6171-d208-47e1-8e6a-6045fa5043dd,pigment,,,,synthetic
02743878-1cc6-44ad-8169-4116cb0738ac,"paint, oil-based",,,,synthetic
02779949-a4a2-4141-aa9b-dfb711af7743,dye,149-91-7,C7H6O5,"3,4,5-Trihydroxybenzoic acid",natural
027a3493-81d2-4610-917a-7b25df110768,"resin, natural",,,,natural
027be59d-7173-4c2a-bc76-155a588e817d,wood,,,,natural
027e14c3-a9b0-4933-bd23-47dfa417f26f,wax,,,,
027f1611-fb14-47b1-a559-73e3e752aab3,oil,68917-18-0,,(No chemical name provided),natural
02912d2e-17d0-4e9a-a1ad-24d01ac58eaa,photographic paper,,,,synthetic
02920d74-1517-4b5a-ba2c-3cdf2b8548b3,ink,,,,
0299b385-485d-4c62-9e9b-13bb698f1010,medium,,,,synthetic
029a7543-b16c-451e-8502-8effdd2365c0,"stone, natural",,,,natural
029ab7c9-d52e-4ffb-8533-b4179722b248,wood,,,,natural
029dc77d-136f-44ff-b9b5-bbb2b597b48c,"stone, natural",,,,natural
02a6a02c-3e03-424f-81d2-d966b4c96a91,varnish,,,,
02b0391d-c9eb-4120-ac0e-1109f1d730bf,photographic paper,,,,synthetic
02b7d1b3-66ed-4133-b272-93d38fe971e1,pigment,,,,synthetic
02b9d300-583d-42dc-8f08-93a1fd6167cd,prepared mixture,,,,
02bd568e-39ca-443c-8a40-ec1a0ab511f0,photographic film,,,,synthetic
02c44eea-c093-44c7-a935-f0d0818fb7ed,"paint, oil-based, water mixable",,,,synthetic
02c47d86-c57d-4f55-bc04-3a56755cd8e6,"resin, natural",,,,natural
02cba09f-1f7f-433d-8d14-6a397771bba0,pigment,1345-16-0 or 68186-86-7,Co(AlO2)2,cobaltous aluminate,synthetic
02ccf3a0-df22-4c18-b633-a34dd801fd87,"paint, watercolor",,,,
02d37c2a-e888-4040-a1f8-cfbea8bb4219,dye,15086-94-9,C20H8O5Br4,(No chemical name provided),synthetic
02da0fe4-c16e-4234-8f26-68ad43a37780,prepared mixture,,,,
02dcdce7-17be-4295-8e74-8ceecd266710,"stone, natural",,,,natural
02e70a20-3137-4efa-9cc1-f9af0d94a004,pigment,1317-61-9,Fe3O4,Iron (II/III) oxide,
02e7ebd8-8b75-4f96-85f6-bbba2ff030dc,"resin, synthetic",,,,synthetic
02ebaa62-6b22-4390-b800-1b66a021839b,"stone, natural",,,"SiO2       66.479%
Al2O3     16.447%
Fe2O3     4.707%
TiO2       0.799%
CaO        3.417%
MgO       2.527%
Na2O      2.858%
K2O        2.607%
BaO        0.159%",natural
02f28c19-f155-46c8-8264-fadba2d567a0,wood,,,,natural
02f5fc85-afb8-4657-bffb-85de49887f0e,"resin, natural, oleoresin",,,,natural
02f9c680-312c-4f71-b052-d3b34facb5bf,"stone, natural",,,,natural
030218fe-1c52-4be1-b746-25b21a9b52b2,"stone, natural",,,,natural
0303bfc3-ab72-4408-94b2-56925a5c84f5,wax,,,,natural
030987f1-3216-4046-94b3-aa8108f939b4,"paint, oil-based",,,,synthetic
030bda23-a13d-4afd-b653-6302b52cc07a,"stone, natural",,,,natural
0317d874-ea6c-4b45-a8b9-807e9c41103f,wood,,,,natural
031bd034-130b-44a5-b6a3-b4b72b6ce412,pigment,11129-60-5,,"contains manganese oxides, calcium carbonate and iron oxide",natural
0321226c-d4f6-4d0c-95f6-7a735c924923,other material,,,,
0326cf50-8e64-4984-8ff1-db069a0b5412,pigment,,,,natural
033258fc-07ed-45dd-921e-342aa18831db,"stone, natural",,,,natural
0338c987-599b-4452-9622-5c6255007f1c,protein,9006-50-2,,(No chemical name provided),natural
0339bdf4-1e21-42da-9939-7a7005454e49,"resin, natural",,,,natural
033c1799-bde8-4368-9cd3-9ef50cc26e48,pigment,1309-36-0 or 61027-07-4,FeS2,iron disulfide,natural
03423653-51cb-4151-a29f-a7c4f2f90ff7,"raw material, inorganic",(No CAS No. Provided),CaSO4,anhydrous calcium sulfate,natural
03491ffc-7ca7-4722-9b10-9b27a11baa10,wax,8015-87-9,,(No chemical name provided),
034efc77-8c21-4f70-b6e7-71bc9d367ff5,dye,,,,natural
03583517-17b1-40f2-b82d-38d5a8a29998,prepared mixture,,,,
03626120-3c6d-4703-aed8-ea22243c78bb,"paint, watercolor",,,,
0366f75b-098b-482a-9ddd-5a5eade75b21,wood,,,,natural
036a39fa-e141-4013-a735-0be0b6158e05,pigment,,,,natural
036c17e0-7d3b-4036-8331-f0234963c671,"stone, natural",,,,natural
0372634a-d8c3-4a1f-a97b-ff8a5d2a18b3,"raw material, organic",,,,natural
0375b4d1-991c-486b-90ae-ea5e2e659bce,dye,,,,natural
03762033-eb06-4d01-8cde-d6616c5b6a59,pigment,,,,
0378f407-5275-4d6a-969a-9f51916f701f,pastel,,,,synthetic
037d8de3-4637-400f-b566-f1dd47b0a31e,gum,9000-65-1,,(No chemical name provided),natural
03855676-3c5a-4bd6-a9b0-1056fdc37ab2,wood,,,,natural
0390360a-7b27-4cfd-89bd-b8e0c296b254,protein,8002-43-5,,(No chemical name provided),natural
03916f17-f69a-422a-861a-de65202e477a,wax,,,,
03986e95-d85c-496d-8050-208b5c3acd51,pigment,,,iron oxide,natural
039c7bf4-026e-4507-81df-2fbf4da0849d,"stone, natural",,,,natural
03a09c76-7c5e-44c1-8c80-adce4fa715a2,prepared mixture,,,,
03a1f656-eb32-4541-8851-57874ea50cf3,"raw material, inorganic",(No CAS No. Provided),KAlSi3O8,Potassium aluminum silicate,natural
03ac900e-6fc4-483e-96c9-f7dfc2468553,ink,,,,
03b14f14-e493-406b-843b-2cc7c3d25d7f,wax,,,,natural
03b82316-d59b-4bde-b968-6736f5cdb836,"resin, natural",,,,natural
03b98980-86d7-442a-a8e7-ff13d7a49f5c,prepared mixture,,,,
03c24e3f-046c-4969-bc69-b16a33d0182d,pigment,,,,natural
03c6b2ef-8ac2-4938-b739-6feacc6b3a94,"raw material, organic",,,,natural
03c817b7-bf8f-4808-908f-2258d736a4a6,"stone, natural",,,,natural
03d08aa5-9f04-4f06-a703-771f5fac50ac,"raw material, inorganic",(No CAS No. Provided),2CuCO3-Cu(OH)2,Copper carbonate (blue),natural
03d4709e-0cd6-46f6-927c-de2509c06d2d,"resin, natural",,,,natural
03d60f81-b0df-4c26-8172-1e48471e6651,paper,,,,natural
03d7b068-43a8-43ce-91ed-fc0e39cd6128,"stone, natural",,,"SiO2       76.41%
Al2O3     12.38%
Fe2O3    1.38%
TiO2       0.16%
CaO        0.60%
MgO        0.13%
Na2O      3.40%
K2O        4.48%
MnO        0.03%
P2O5      0.04%
H2O        0.386%",natural
03db5b69-225b-4f41-8be5-12d1c70be94d,"raw material, inorganic",,,Hydrated magnesium silicate,natural
03dbf443-2ebb-45a9-82ef-d3431c571706,"stone, natural",,,,natural
03e3e64a-1b4d-49b4-8b24-fbe7e773e265,dye,860-22-0,C16H8N2Na2O8S2,"5,5'-disulfonic acid disodium salt",natural
03e50c40-127e-417a-a935-9aca748777f4,dye,,,,natural
03f4d955-49e4-46d9-9ed0-027295934e18,wood,,,,natural
03f580d5-b66e-43af-8c9d-7bf9fadb44e5,"stone, natural",,,,natural
03f89f56-aac8-4a8f-ac91-7032f41c0d76,"resin, natural",,,,natural
03fc3b03-3cc4-40b8-b548-7330562c3d77,adhesive,,,,synthetic
0403173b-3542-49fc-946e-00627484228f,prepared mixture,,,,
0405436d-8342-4c2d-9787-b5403e8c2c28,prepared mixture,,,,
040fecc4-1401-42bd-8c38-a2d8fcf2b1d6,prepared mixture,,,,
041208db-6884-44ed-882e-35059323f041,prepared mixture,,,,
04121448-ae0f-45f4-a762-b3b3538d9835,protein,91053-28-0,,(No chemical name provided),natural
041319c7-1e48-488b-82d7-cef97345a462,"stone, natural",,,,natural
041c27fb-0701-4484-9ef8-e210206ccfec,pigment,,,,
041e5cfe-ed97-490f-8d6d-14a3aaecb94a,pigment,1314-41-6,Pb3O4,lead tetroxide,
042aa022-2b90-47a1-966c-b8446a372178,pigment,,,,synthetic
042acd7f-eedc-45c4-a927-75e679435118,prepared mixture,,,,
043c297e-0386-425a-b7ce-31e167fab0d6,wood,,,,natural
043e36c5-5677-43a6-ab23-523ed5cf781d,"stone, natural",,,,natural
0440e347-3abf-42a2-b7fb-6f77aa6d3593,prepared mixture,,,,
044528c1-5dcf-4dd8-93ef-495c6910e91d,textile,,,,
0446c4d8-1076-4da4-8d27-341c5f04b2e4,dye,,,,natural
