rsci_uuid,specific_place_uri_1,specific_place_uri_2,place_uuid_1,geo_point_1,place_uuid_2,geo_point_2
13d5fd1c-a53c-4c86-a02d-9e03da74d7bd,https://www.geonames.org/5128638,,92bdf162-91d4-464d-8f60-3c0e3670742d,"{""type"": ""Point"", ""coordinates"": [-75.4999, 43.00035]}",,
ce14cb0f-2c4f-4c46-b50a-e6cf0d3e64fd,https://www.geonames.org/3017382,,795a2be8-5d4e-49e5-90e3-7cd429123b7b,"{""type"": ""Point"", ""coordinates"": [2.0, 46.0]}",,
e1778af0-a7d3-4873-bbff-41af69640da8,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
2f10d570-d0e0-439d-8c72-4d41cbc970d0,https://www.geonames.org/4736286,,79ca6d79-7804-4376-9b38-6e07205c2772,"{""type"": ""Point"", ""coordinates"": [-99.25061, 31.25044]}",,
73c11750-6e24-46b1-9231-8624b3f4d1ce,https://www.geonames.org/5128638,,92bdf162-91d4-464d-8f60-3c0e3670742d,"{""type"": ""Point"", ""coordinates"": [-75.4999, 43.00035]}",,
7430853c-1c29-4bdd-98aa-a1db7e9dfe1e,https://www.geonames.org/5128638,,92bdf162-91d4-464d-8f60-3c0e3670742d,"{""type"": ""Point"", ""coordinates"": [-75.4999, 43.00035]}",,
16985af0-bf18-4a07-97bb-4981df01ed08,https://www.geonames.org/4155751,,ee6914be-89e7-4f79-a167-2fcd000c7a46,"{""type"": ""Point"", ""coordinates"": [-82.5001, 28.75054]}",,
62d38491-ed18-455e-b9da-c14265214fd3,https://www.geonames.org/5128638,,92bdf162-91d4-464d-8f60-3c0e3670742d,"{""type"": ""Point"", ""coordinates"": [-75.4999, 43.00035]}",,
8ef0d6b9-cb28-4a9f-b78e-5704023ec338,https://www.geonames.org/2082514,,b51cb084-b6ab-4cab-912d-55ff306d6bcb,"{""type"": ""Point"", ""coordinates"": [140.0, -5.0]}",,
c8708680-e1da-4f95-851e-2af1c3bbad0e,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
a21f0ee3-688a-474f-9484-e37f634de2b4,https://www.geonames.org/4331987,,20c106ff-439c-4288-9785-3cb2cc52d25f,"{""type"": ""Point"", ""coordinates"": [-92.0004, 31.00047]}",,
