row,field_name,sample_uuid,SampRpt,report_uuid,SampID,SampBy,samp_by_edit 1,samp_by_edit 2,samp_by_edit 3,samp_by_edit 4,SampDate,SampDate_edtf,SampMaterial,SampType,FieldProj,Country,place_uuid,country_new_uuid,Site/Provenance,SubSite,SampLoc,SampDescript,StoreLoc
134,Field Sample 134,bc2d8689-cc33-47ac-b612-8d6eddb2bcf9,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Ext_4_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Exterior Window frame,"Mounted sample taken from a crack near near the edge of the orange panel where it meets the black frame, white layer visible beneath the black layer.",1-3-F
135,Field Sample 135,d4486aa2-aa93-4539-a0e3-6fbb4c7b106e,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Int_5,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Interior Window frame,"Sample taken from window frame, from an area with a thick build-up of paint.",1-3-F
136,Field Sample 136,7ebc21de-8da7-417a-9dca-0176edbdf646,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Int_5_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Interior Window frame,"Mounted sample taken from window frame, from an area with a thick build-up of paint.",1-3-F
137,Field Sample 137,178c1029-40d8-4f1c-a367-95672193a410,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Int_6,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Interior Window frame,"Sample taken from window frame. Sample broke into two fragments during mounting; each fragment was embedded separately. Cross-section East Interior_6A is the lower fragment that consists of gray primer, possibly also some putty, and corrosion products on its underside. Corss-section East Interior_6B includes the upper paint layers of dark gray, red and near-black.",1-3-F
138,Field Sample 138,6293ed2b-8f4b-4b2e-8fa5-1b58defeb9c7,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Int_6A_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Interior Window frame,"Mounted. Sample taken from window frame. Sample broke into two fragments during mounting; each fragment was embedded separately. Cross-section East Interior_6A is the lower fragment that consists of gray primer, possibly also some putty, and corrosion products on its underside. Corss-section East Interior_6B includes the upper paint layers of dark gray, red and near-black.",1-3-F
139,Field Sample 139,21e6af33-8563-47bf-bd02-8f5c49d842d2,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Int_6B_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Interior Window frame,"Mounted. Sample taken from window frame. Sample broke into two fragments during mounting; each fragment was embedded separately. Cross-section East Interior_6A is the lower fragment that consists of gray primer, possibly also some putty, and corrosion products on its underside. Corss-section East Interior_6B includes the upper paint layers of dark gray, red and near-black.",1-3-F
140,Field Sample 140,806586d7-594a-4f47-847a-fbc0a8c2e936,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Int_7,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Interior Window frame,Sample taken from an area of flaking paint next to the windowpane,1-3-F
141,Field Sample 141,a076317b-4ae6-4179-892a-5811137b73cd,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Int_7_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Interior Window frame,Mounted sample taken from an area of flaking paint next to the windowpane,1-3-F
142,Field Sample 142,5da5fa7e-08bc-40cc-a3f6-4d19f1e46c2b,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Int_8,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Interior Window frame,Sample taken from a thick build-up of paint next to the windowpane. Sample broke into two fragments during mounting; each fragment was embedded separately for preparation as cross-sections.,1-3-F
143,Field Sample 143,81c0344c-4a9c-4c1f-a061-036c389b8037,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Int_8A_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Interior Window frame,Mounted sample taken from a thick build-up of paint next to the windowpane. Sample broke into two fragments during mounting; each fragment was embedded separately for preparation as cross-sections.,1-3-F
144,Field Sample 144,00feaf5f-b2e5-44bf-ab68-b64a67db2e0c,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Int_8B_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Interior Window frame,Mounted sample taken from a thick build-up of paint next to the windowpane. Sample broke into two fragments during mounting; each fragment was embedded separately for preparation as cross-sections.,1-3-F
145,Field Sample 145,04c1db20-f54d-43fc-a62e-752cf5377a5c,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_North_Int_9,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,North Interior Window frame,Sample of gray paint taken from the window frame just next to the pane.,1-3-F
146,Field Sample 146,35bfb0ad-2584-4906-ac0d-81e3de75a6a3,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_North_Int_9_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,North Interior Window frame,Mounted sample of gray paint taken from the window frame just next to the pane.,1-3-F
147,Field Sample 147,544da1d0-f797-4d59-a074-1e045bed2b60,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_North_Ext_10,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,North Exterior Window frame,"From corner of window frame, black paint bubbled up from failed putty/corrosion, sample may include a red primer and putty.",1-3-F
148,Field Sample 148,f3f8183b-065b-4d58-99f8-a00911699093,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_North_Ext_10_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,North Exterior Window frame,"Mounted. From corner of window frame, black paint bubbled up from failed putty/corrosion, sample may include a red primer and putty.",1-3-F
149,Field Sample 149,fd8800b6-f978-4ac1-bd55-b7a22e3599be,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_South_Ext_11,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,South Exterior Window frame,Sample of black paint taken from edge of loss on window frame. Putty failing. Three separate sub-fragments from the fragment selected as cross-section. Uppermost fragment A includes the paint layer(s); lower fragments B and C are essentially putty material.,1-3-F
150,Field Sample 150,86a70d33-c24c-4935-891b-4ff58dc4ff11,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_South_Ext_11_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,South Exterior Window frame,Mounted. Sample of black paint taken from edge of loss on window frame. Putty failing. Three separate sub-fragments from the fragment selected as cross-section. Uppermost fragment A includes the paint layer(s); lower fragments B and C are essentially putty material.,1-3-F
151,Field Sample 151,e768dab0-cb13-4037-928d-35e02c43a692,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_West_Ext_12,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,West Exterior Window frame,"Blue paint from panel frame, possibly includes some caulk, taken from an edge of a repainted area.",1-3-F
152,Field Sample 152,c7f8f2df-f506-4c54-9f70-5fed1eaa6575,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_West_Ext_12_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,West Exterior Window frame,"Mounted. Blue paint from panel frame, possibly includes some caulk, taken from an edge of a repainted area.",1-3-F
153,Field Sample 153,8182a7d2-0656-49a7-81e3-4c7c4c00608a,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_West_Ext_13,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,West Exterior Window frame,"Blue paint from edge of repainted area, possibly includes caulk.",1-3-F
154,Field Sample 154,e2c26d9d-8b48-440f-b05f-bd5eda0d32e2,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_West_Ext_13_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,West Exterior Window frame,"Mounted. Blue paint from edge of repainted area, possibly includes caulk.",1-3-F
155,Field Sample 155,727ca0c0-95e5-4402-b9cb-3c26e52d980c,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_West_Ext_14,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,West Exterior Window frame,Loose fragment from edge of loss in black paint on metal frame.,1-3-F
