resourceinstanceid,graphid,graphpublicationid,principaluser_id,common_name_tileid,common_name_name_content,common_name_name_type_,common_name_name_language_,barcode_no_tileid,barcode_no_identifier_content,barcode_no_identifier_type,tileid,facet_type,facet_type_metatype,additional_names_tileid,additional_names_name_content,additional_names_name_type_,additional_names_name_language_
c25dd19c-ff51-4e87-a1c3-520bd4dcb017,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,08c362db-6d3c-48c2-8330-a7482e5c24f0,"{""en"": {""value"": ""Red Cedar, Eastern"", ""direction"": ""ltr""}}",[],[],e0321841-0677-4db0-967e-f060b87679bd,"{""en"": {""value"": ""10021"", ""direction"": ""ltr""}}",[],a26883ad-14c7-4d57-957d-87449c9f9d34,[],[],,,,
b95de53b-0769-4b54-9a76-4b4bf30a545b,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,65323509-063a-4190-be22-c4b08ec33143,"{""en"": {""value"": ""Apitong - Bagac"", ""direction"": ""ltr""}}",[],[],5a2477c1-836c-40ec-9f4d-c29536194cd7,"{""en"": {""value"": ""10022"", ""direction"": ""ltr""}}",[],903f6b9b-134e-4088-ba63-ce2731dd75fc,[],[],,,,
b4290a55-95dd-4010-8e0f-ae8e6bc44cbe,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,fe1d7e79-38c1-4495-9ba5-2460653ab15b,"{""en"": {""value"": ""Redwood"", ""direction"": ""ltr""}}",[],[],8589efa5-f38d-4a1b-ae7a-bbffcf434342,"{""en"": {""value"": ""10023"", ""direction"": ""ltr""}}",[],35920779-1411-4fad-abdb-e5766367b811,[],[],,,,
3edcff3b-4f8b-4aa1-8ada-b6828dd04848,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,950b6940-39f5-4871-aa5d-f6bf4d16fab6,"{""en"": {""value"": ""Yew, Pacific"", ""direction"": ""ltr""}}",[],[],eef9f687-12c0-4a50-ad37-e77008cf154c,"{""en"": {""value"": ""10024"", ""direction"": ""ltr""}}",[],2f175c6f-4719-4063-9e3d-de9b8b664384,[],[],,,,
e6157a65-ff3f-46bb-9b31-3e54a65c9afe,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,d1f68e9a-758e-4b8a-8335-a7d9b06e0ead,"{""en"": {""value"": ""Parana Pine"", ""direction"": ""ltr""}}",[],[],7d34b430-a2db-4609-9c66-67092d3cb0e3,"{""en"": {""value"": ""10025"", ""direction"": ""ltr""}}",[],48798f16-1529-4d55-8678-bd5551281c06,[],[],,,,
64cfc5da-0901-4439-95f0-f57b46f9d855,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,65e3fab2-ee56-43b2-b4f2-1a092a5ca78b,"{""en"": {""value"": ""Staghorn Sumac"", ""direction"": ""ltr""}}",[],[],04ba9203-a763-4d15-91c9-9ae0fdd878b3,"{""en"": {""value"": ""10026"", ""direction"": ""ltr""}}",[],3e78d3fc-5a2c-499a-aaae-e226a06ac99d,[],[],,,,
b39ac4ef-8e71-4265-9dbd-9e7348194a68,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,3e53daf1-29ef-46cc-b4ae-18c9d58d43ba,"{""en"": {""value"": ""Makori - Africancherry"", ""direction"": ""ltr""}}",[],[],b2d9a973-9f65-4169-b51c-4b1d556e2f06,"{""en"": {""value"": ""10027"", ""direction"": ""ltr""}}",[],334ace41-2bcb-4620-9e90-07e48e7805b7,[],[],,,,
22b779e0-a7c9-4272-89ea-624eb77662df,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,59d1709d-6cdc-4a71-a1d7-6c1b6ae4d9b6,"{""en"": {""value"": ""Limba - Afara"", ""direction"": ""ltr""}}",[],[],3750117f-e105-4095-a037-9a765bacf99c,"{""en"": {""value"": ""10028"", ""direction"": ""ltr""}}",[],9930bad4-73aa-4adc-aed7-e8e45946525e,[],[],,,,
a7b8a93d-ffd0-40ce-9673-584972cc049f,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,97a5119f-ac8e-43a1-bbd8-df1a9fb68d3f,"{""en"": {""value"": ""Honey Locust"", ""direction"": ""ltr""}}",[],[],096dbb90-4469-4544-a92b-dcf304013c54,"{""en"": {""value"": ""10029"", ""direction"": ""ltr""}}",[],0193a088-cf35-4f52-9bb5-464973a4088b,[],[],,,,
3179b1ed-6c2e-4478-b4e5-4e5a5a440c74,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,373d2d31-6574-421e-a558-17f064ff45dc,"{""en"": {""value"": ""Balsa"", ""direction"": ""ltr""}}",[],[],58c5769c-56fd-4cf8-bdc0-942ad190122b,"{""en"": {""value"": ""10030"", ""direction"": ""ltr""}}",[],cd076ed0-dda5-49b1-9a0d-fc3ebb43bc89,[],[],,,,
