rsci_uuid,READY_dim1_value,READY_dim1_lowestvalue,READY_dim1_highestvalue,READY_dim1_unit,READY_dim1_type,READY_dim1_note,READY_dim2_value,READY_dim2_lowestvalue,READY_dim2_highestvalue,READY_dim2_unit,READY_dim2_type,READY_dim2_note
a8ce605f-bae3-4d66-9607-fd007681ba5f,,,,,,,,,,,,
299be6c5-04d0-421f-9880-34719e7e0e83,,,,,,,,,,,,
be5457bb-94d1-47e7-a6b2-deb109c24f42,,,,,,,,,,,,
231dd8b8-da32-423b-9d77-5fdb24be317e,,,,,,,,,,,,
3437eac0-62f0-43cb-bbe0-6b62cef1e8bb,,,,,,,,,,,,
5e4f54dd-365d-4672-a494-942a8b6f9009,,,,,,,,,,,,
4004c3f5-d5c2-41f9-86e5-9f4a6cccc6b4,,,,,,,,,,,,
3a0b23bb-fa98-4582-a537-127683899b44,,,,,,,,,,,,
c2b4ee08-1301-4d7f-a89c-74dc5106c0bd,,,,,,,,,,,,
b4ccbfd7-4657-4499-94b7-3f8c116a80a9,,,,,,,,,,,,
5217b88a-a466-42cb-b3bb-167c4653fbae,,,,,,,,,,,,
512da49f-ba32-44e8-95ce-90113aa84af9,,,,,,,,,,,,
50939c82-7468-4443-a655-3c7f3aa27e7b,,,,,,,,,,,,
7d3251b4-0457-4fe4-99d2-4c3c4803275c,,,,,,,,,,,,
d472cc16-739c-486d-ab2f-dd0e7f42eccb,,,,,,,,,,,,
49b4df91-07d8-43d1-be03-37a6d659535e,,,,,,,,,,,,
861410f5-a8e0-4fe7-8ab1-a8c6c5a90d04,,,,,,,,,,,,
7a1f4ca6-fe49-4957-9c02-c303b4990e7e,,,,,,,,,,,,
edc34289-ad68-4b05-a190-97610d4c96cf,,,,,,,,,,,,
a77f3f7a-ecd4-40e3-a2a8-9b905fa8471b,,,,,,,,,,,,
690c4985-0a9a-435d-879b-ee1226d03c40,,,,,,,,,,,,
ec50d431-4f19-4a10-a58f-2bf7c9a481aa,,,,,,,,,,,,
661d50ad-46cd-440b-ae59-739587f97589,,,,,,,,,,,,
8a95499b-bdc0-42af-be65-257c0e1b2a43,,,,,,,,,,,,
4c890f68-ddfd-43b9-879e-50afb82147a3,,,,,,,,,,,,
d8232ac5-0cc2-401b-9bda-9a2a92432d53,,,,,,,,,,,,
2daabbb3-c035-4b02-b9b0-f233c745ad07,,,,,,,,,,,,
8291176f-519b-4432-98d8-49ba3c6d9164,,,,,,,,,,,,
87b00e66-44a7-4955-986a-6dc63d18c1fb,,,,,,,,,,,,
20eeb305-ea42-46f5-897c-e40f7e56a982,,,,,,,,,,,,
f693491a-f05f-4c50-b7fd-392d499b3182,,,,,,,,,,,,
11b6a73a-22bf-402b-ba48-a318b6b7cb4c,,,,,,,,,,,,
be79a068-c68f-4b7e-9d0e-5f097b6330f9,,,,,,,,,,,,
b2533374-00e3-44cd-832e-e6423db49e35,,,,,,,,,,,,
5b4083c8-ec98-478b-9ff3-43f125acd1e3,,,,,,,,,,,,
8e0caf7b-b045-4da2-8333-a1bd10e76a43,,,,,,,,,,,,
cad0fa06-8d6d-48cd-8c2a-81aee9c6ab78,,,,,,,,,,,,
b39d030a-f87d-435f-8577-e2477a67b7df,,,,,,,,,,,,
675fc733-7a29-47cd-96b9-10d696622fb5,,,,,,,,,,,,
ea2e3177-bf96-47f6-b38c-2fcde6726824,,,,,,,,,,,,
d9b78be9-b27f-4558-8217-33b27071cee2,,,,,,,,,,,,
3881f774-2da3-42a3-b3d6-d6055a3bd922,,,,,,,,,,,,
c0e473ae-08ba-4e3d-b44b-6fb2c0ad3805,,,,,,,,,,,,
3ddb1ddb-6527-49cf-8ae0-bc5228ffaa37,,,,,,,,,,,,
0468850e-25f9-42ad-9d62-0777cc10337b,,,,,,,,,,,,
84970262-ee6c-4292-80b8-82d5ddbffb43,,,,,,,,,,,,
5bb0e57b-7a54-4fe1-882d-e339f394a539,,,,,,,,,,,,
2b20c2bc-f0b0-4c37-ab4f-8f19daf00780,,,,,,,,,,,,
43c61b05-6c72-4f5d-9cb7-0d7e0a55a5fb,,,,,,,,,,,,
14c942fe-83db-4f28-8f0e-b20db63bd38f,,,,,,,,,,,,
ae336d5e-7bfa-43b9-89da-454ef2841a04,,,,,,,,,,,,
72b258fd-cabb-4526-86fc-23f5fd9ad97e,,,,,,,,,,,,
cf7fe48f-9ab3-44fe-bbcb-b495cf9b90ad,,,,,,,,,,,,
55aecbf4-2695-478f-97b1-2fa0ac2a0b33,,,,,,,,,,,,
9b3182b1-319c-4c1c-b125-eeed9bafacab,,,,,,,,,,,,
a9b81412-9404-4ed7-b531-67935c9f85bc,,,,,,,,,,,,
92f1d091-de16-4712-a8d7-dd526ebb5ffc,,,,,,,,,,,,
f9fdc7f6-7437-4763-8eeb-61cc4281eb2a,,,,,,,,,,,,
26caee15-b370-4c64-a05d-01331609c724,,,,,,,,,,,,
2dad692b-f69b-428a-b0e6-1bf5212940b5,,,,,,,,,,,,
e00e57c7-49c7-45d4-bf43-ecb372168e13,,,,,,,,,,,,
7221d469-9cd9-4034-b66d-d91026dfde42,,,,,,,,,,,,
f5469321-362f-4326-b42b-04a885be04c5,,,,,,,,,,,,
5c609b5b-2378-44b4-b08d-7ddaf0b354ea,,,,,,,,,,,,
0e78d26c-30a8-4831-ae1c-59a3dafd5e80,,,,,,,,,,,,
b55a4004-0fe1-49b6-aadd-d7722d629b69,,,,,,,,,,,,
e7e3b34c-5423-44a6-a7b6-692b7d245ecf,,,,,,,,,,,,
8430decd-a71d-47f9-b004-644f4efceeb9,,,,,,,,,,,,
42b6cdf3-b88b-4f88-985d-11eac87dba48,,,,,,,,,,,,
90fecc62-d503-490d-af2d-e408f848ea48,,,,,,,,,,,,
5633019c-7951-4452-9537-2d0d668c1808,,,,,,,,,,,,
9527dc5a-60b5-4c8a-99eb-148b826f9a4b,,,,,,,,,,,,
0e1a4658-f638-4a58-8ca3-eb14fdfa5ffc,,,,,,,,,,,,
fc3455aa-a648-479d-b96c-ae17a9a6273a,,,,,,,,,,,,
16378c55-c87f-4d76-a4e7-e7ab24e0d156,,,,,,,,,,,,
6ad6a52f-b5e9-4ee3-8995-f9e4960a8806,,,,,,,,,,,,
32d66ead-f089-47f1-b5ff-e63383e39f47,,,,,,,,,,,,
8f2b1c73-f0c6-4120-ad0f-f3678a7378b4,,,,,,,,,,,,
37bc7f1c-e65c-4bdc-8be4-f1a73b36b440,,,,,,,,,,,,
9c419e5c-3878-4796-8ff4-dbbda3ff0949,,,,,,,,,,,,
bac1542c-d946-4b6c-8556-65fceb5681e3,,,,,,,,,,,,
e4931a4f-cfd3-4d8f-bec9-814bcec226f0,,,,,,,,,,,,
87529497-e4da-48c7-a1d6-25a036ce4124,,,,,,,,,,,,
eb4fa17f-53e0-420f-b620-eeb2575081fa,,,,,,,,,,,,
68968bce-a8f4-4771-926d-68439043618d,,,,,,,,,,,,
02da0fe4-c16e-4234-8f26-68ad43a37780,,,,,,,,,,,,
ffd325b3-6075-4d13-96ad-e863cdc05e93,,,,,,,,,,,,
de3c0424-df48-4d19-add8-59c2c31159b0,,,,,,,,,,,,
f02e9031-fa95-4957-b3f6-a214f12506eb,,,,,,,,,,,,
21cba47b-1afb-4086-853d-be450d035538,,,,,,,,,,,,
2d64e264-4ee4-413d-974a-2586f3f1c731,,,,,,,,,,,,
58ee0bc6-08b6-4f49-ad73-4a2a7cadfe35,,,,,,,,,,,,
