 4.6745,    -120
 4.6845,     -17
 4.6945,      38
 4.7045,      85
 4.7145,     150
 4.7245,     234
 4.7345,     376
 4.7445,     490
 4.7545,     791
 4.7645,     937
 4.7745,    1098
 4.7845,    1449
 4.7945,    1647
 4.8045,    1923
 4.8145,    2208
 4.8245,    2468
 4.8345,    2627
 4.8445,    2697
 4.8545,    2664
 4.8645,    2591
 4.8745,    2316
 4.8845,    2145
 4.8945,    1745
 4.9045,    1426
 4.9145,    1104
 4.9245,     846
 4.9345,     571
 4.9445,     314
 4.9545,     185
 4.9645,     -65
 4.9745,    -152
 4.9845,    -114
 4.9945,    -111
 5.0045,     -77
 5.0145,     -93
 5.0245,    -107
 5.0345,     -75
 5.0445,     -10
 5.0545,      43
 5.0645,     148
 5.0745,     200
 5.0845,     205
 5.0945,     321
 5.1045,     392
 5.1145,     516
 5.1245,     606
 5.1345,     650
 5.1445,     786
 5.1545,     858
 5.1645,     898
 5.1745,     932
 5.1845,     947
 5.1945,     849
 5.2045,     832
 5.2145,     725
 5.2245,     668
 5.2345,     618
 5.2445,     533
 5.2545,     443
 5.2645,     464
 5.2745,     425
 5.2845,     471
 5.2945,     521
 5.3045,     663
 5.3145,     861
 5.3245,    1034
 5.3345,    1373
 5.3445,    1857
 5.3545,    2313
 5.3645,    2703
 5.3745,    3345
 5.3845,    3760
 5.3945,    4372
 5.4045,    4767
 5.4145,    5067
 5.4245,    5148
 5.4345,    5146
 5.4445,    5004
 5.4545,    4809
 5.4645,    4476
 5.4745,    3918
 5.4845,    3474
 5.4945,    3046
 5.5046,    2603
 5.5146,    2040
 5.5246,    1741
 5.5346,    1423
 5.5446,    1153
 5.5546,     911
 5.5646,     736
 5.5746,     572
 5.5846,     526
 5.5946,     402
 5.6046,     321
 5.6146,     264
 5.6246,     203
 5.6346,     160
 5.6446,     125
 5.6546,      95
 5.6646,      83
 5.6746,      69
 5.6846,      72
 5.6946,      59
 5.7046,      70
 5.7146,      70
 5.7246,     106
 5.7346,      91
 5.7446,     119
 5.7546,     125
 5.7646,     154
 5.7746,     145
 5.7846,     173
 5.7946,     156
 5.8046,     218
 5.8146,     233
 5.8246,     267
 5.8346,     266
 5.8446,     273
 5.8546,     289
 5.8646,     369
 5.8746,     339
 5.8846,     422
 5.8946,     515
 5.9046,     517
 5.9146,     628
 5.9246,     678
 5.9346,     716
 5.9446,     717
 5.9546,     744
 5.9646,     705
 5.9746,     696
 5.9846,     674
 5.9946,     609
 6.0046,     571
 6.0146,     503
 6.0246,     427
 6.0346,     385
 6.0446,     312
 6.0546,     241
 6.0646,     202
 6.0746,     133
 6.0846,     103
 6.0946,      69
 6.1046,      40
 6.1146,       7
 6.1246,      15
 6.1346,      23
 6.1446,       8
 6.1546,     -22
 6.1646,      -3
 6.1746,     -37
 6.1846,     -12
 6.1946,     -14
 6.2046,       5
